  QueueTimes | ServiceTimes | SojournTimes
       0.054 |        0.007 |        0.061
       0.059 |        0.006 |        0.065
       0.053 |        0.007 |        0.060
       0.053 |        0.009 |        0.062
       0.053 |        0.022 |        0.075
       0.053 |        0.028 |        0.081
       0.081 |        0.007 |        0.088
       0.055 |        0.026 |        0.081
       0.018 |        0.027 |        0.045
       0.056 |        0.013 |        0.069
       0.013 |        0.008 |        0.021
       0.055 |        0.010 |        0.065
       0.056 |        0.048 |        0.103
       0.055 |        0.008 |        0.063
       0.054 |        0.030 |        0.084
       0.055 |        0.010 |        0.065
       0.054 |        0.037 |        0.091
       0.030 |        0.012 |        0.042
       0.040 |        0.018 |        0.058
       0.055 |        0.154 |        0.209
       0.185 |        0.045 |        0.230
       0.200 |        0.029 |        0.229
       0.021 |        0.009 |        0.030
       0.055 |        0.009 |        0.064
       0.054 |        0.006 |        0.061
       0.054 |        0.033 |        0.087
       0.081 |        0.035 |        0.116
       0.054 |        0.010 |        0.065
       0.054 |        0.007 |        0.061
       0.030 |        0.034 |        0.064
       0.055 |        0.010 |        0.065
       0.056 |        0.046 |        0.102
       0.056 |        0.025 |        0.082
       0.056 |        0.044 |        0.101
       0.056 |        0.014 |        0.070
       0.056 |        0.012 |        0.068
       0.055 |        0.011 |        0.066
       0.034 |        0.037 |        0.071
       0.033 |        0.020 |        0.053
       0.056 |        0.030 |        0.086
       0.054 |        0.031 |        0.085
       0.040 |        0.007 |        0.047
       0.003 |        0.032 |        0.035
       0.053 |        0.026 |        0.080
       0.053 |        0.039 |        0.092
       0.021 |        0.006 |        0.027
       0.019 |        0.016 |        0.035
       0.005 |        0.006 |        0.011
       0.053 |        0.146 |        0.199
       0.122 |        0.010 |        0.132
       0.054 |        0.019 |        0.073
       0.053 |        0.005 |        0.058
       0.053 |        0.005 |        0.058
       0.053 |        0.005 |        0.058
       0.014 |        0.023 |        0.038
       0.053 |        0.028 |        0.081
       0.034 |        0.030 |        0.063
       0.054 |        0.010 |        0.063
       0.053 |        0.005 |        0.058
       0.053 |        0.006 |        0.059
       0.053 |        0.009 |        0.062
       0.053 |        0.009 |        0.062
       0.053 |        0.026 |        0.079
       0.053 |        0.024 |        0.077
       0.053 |        0.008 |        0.061
       0.047 |        0.006 |        0.053
       0.053 |        0.005 |        0.058
       0.035 |        0.005 |        0.040
       0.054 |        0.032 |        0.086
       0.026 |        0.008 |        0.034
       0.053 |        0.006 |        0.060
       0.050 |        0.012 |        0.062
       0.054 |        0.005 |        0.059
       0.009 |        0.031 |        0.040
       0.054 |        0.007 |        0.061
       0.063 |        0.044 |        0.107
       0.054 |        0.032 |        0.086
       0.054 |        0.166 |        0.219
       0.143 |        0.035 |        0.178
       0.007 |        0.009 |        0.016
       0.054 |        0.032 |        0.086
       0.014 |        0.033 |        0.047
       0.032 |        0.008 |        0.040
       0.057 |        0.036 |        0.093
       0.055 |        0.037 |        0.092
       0.048 |        0.021 |        0.070
       0.054 |        0.012 |        0.066
       0.021 |        0.096 |        0.117
       0.031 |        0.029 |        0.060
       0.054 |        0.027 |        0.081
       0.053 |        0.183 |        0.236
       0.144 |        0.006 |        0.151
       0.054 |        0.010 |        0.064
       0.053 |        0.027 |        0.080
       0.053 |        0.175 |        0.228
       0.053 |        0.008 |        0.061
       0.053 |        0.148 |        0.200
       0.140 |        0.037 |        0.178
       0.140 |        0.005 |        0.145
       0.144 |        0.038 |        0.182
       0.054 |        0.021 |        0.074
       0.054 |        0.007 |        0.061
       0.014 |        0.026 |        0.040
       0.053 |        0.039 |        0.093
       0.054 |        0.014 |        0.067
       0.053 |        0.030 |        0.083
       0.054 |        0.022 |        0.077
       0.053 |        0.035 |        0.089
       0.054 |        0.032 |        0.086
       0.053 |        0.022 |        0.076
       0.053 |        0.037 |        0.090
       0.053 |        0.010 |        0.063
       0.042 |        0.152 |        0.194
       0.186 |        0.008 |        0.194
       0.128 |        0.022 |        0.150
       0.054 |        0.150 |        0.203
       0.054 |        0.029 |        0.083
       0.004 |        0.010 |        0.014
       0.053 |        0.028 |        0.081
       0.065 |        0.014 |        0.080
       0.037 |        0.009 |        0.046
       0.010 |        0.007 |        0.017
       0.054 |        0.005 |        0.059
       0.053 |        0.042 |        0.095
       0.053 |        0.030 |        0.083
       0.070 |        0.017 |        0.086
       0.028 |        0.032 |        0.060
       0.044 |        0.041 |        0.086
       0.061 |        0.184 |        0.245
       0.153 |        0.039 |        0.192
       0.043 |        0.040 |        0.083
       0.054 |        0.008 |        0.062
       0.053 |        0.009 |        0.062
       0.053 |        0.040 |        0.093
       0.053 |        0.023 |        0.077
       0.018 |        0.023 |        0.041
       0.053 |        0.035 |        0.088
       0.053 |        0.031 |        0.083
       0.053 |        0.006 |        0.059
       0.053 |        0.009 |        0.062
       0.053 |        0.040 |        0.093
       0.053 |        0.017 |        0.070
       0.053 |        0.019 |        0.071
       0.053 |        0.030 |        0.083
       0.054 |        0.014 |        0.068
       0.062 |        0.129 |        0.191
       0.053 |        0.010 |        0.063
       0.034 |        0.028 |        0.063
       0.053 |        0.008 |        0.061
       0.038 |        0.020 |        0.058
